Experiment,Method,Threads,Ticker,Iterations,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Sequential,1,MSFT,910000,MSFT,516.7946712239352,101.80860317844306,19.91151748342439,516.585491370614,517.0038510772564,40.77105450630188,1.0078125,0.6
1,Sequential,1,GOOGL,910000,GOOGL,236.45681483957515,64.70154698467714,37.88372923517154,236.32387656436683,236.58975311478346,40.47749447822571,1.0234375,0.4
1,Parallel,1,AAPL,910000,AAPL,312.3537398865945,71.19901792957408,30.370109211941436,312.2074516588598,312.5000281143292,5.261532306671143,-0.51171875,12.058333333333332
1,Parallel,1,MSFT,910000,MSFT,516.7888959514951,101.7444907642281,19.91017745087232,516.5798478259943,516.9979440769959,5.727599620819092,-0.0078125,12.646153846153847
1,Parallel,1,GOOGL,910000,GOOGL,236.26108013694022,64.62636956929012,37.76959156162489,236.12829632412735,236.3938639497531,6.346710681915283,0.12109375,22.36206896551724
1,Parallel,2,AAPL,910000,AAPL,312.10571651570297,71.0234524593186,30.266589292628215,311.9597890115041,312.25164401990185,4.364880323410034,0.0234375,14.495
1,Parallel,2,MSFT,910000,MSFT,516.7729449389931,101.78479413743547,19.90647634824682,516.563814004639,516.9820758733472,3.944797992706299,-2.0,23.355555555555554
1,Parallel,2,GOOGL,910000,GOOGL,236.4918161646395,64.62974108384651,37.90413936051015,236.35902542458373,236.62460690469524,3.726231813430786,0.0859375,20.27058823529412
1,Parallel,4,AAPL,910000,AAPL,312.2185347739708,71.10379272511256,30.313677343044453,312.0724421995864,312.3646273483552,3.5374529361724854,0.0546875,27.924999999999997
1,Parallel,4,MSFT,910000,MSFT,516.8189125960905,101.83747547035816,19.917142192584294,516.609673420653,517.028151771528,3.5064218044281006,1.7890625,26.65
1,Parallel,4,GOOGL,910000,GOOGL,236.39360957463433,64.60734949861765,37.84687270539358,236.26086484118673,236.52635430808192,3.5014960765838623,0.03125,29.59375
1,Sequential,1,AAPL,1010000,AAPL,312.1886993729411,71.05717986295652,30.301224652412216,312.0501184812147,312.3272802646674,46.02349781990051,0.25390625,0.0
1,Sequential,1,MSFT,1010000,MSFT,516.8016468558118,101.8483602109454,19.913136034563365,516.603014759715,517.0002789519085,44.944485902786255,0.74609375,0.0
1,Sequential,1,GOOGL,1010000,GOOGL,236.3329446738395,64.60233936990977,37.81149752383687,236.20695248255416,236.45893686512485,45.431620836257935,1.01171875,1.0
1,Parallel,1,AAPL,1010000,AAPL,312.278401879092,71.07551094744518,30.338664657221265,312.1397852367484,312.4170185214355,8.319638013839722,-10.3984375,16.439473684210526
1,Parallel,1,MSFT,1010000,MSFT,516.7014741190434,101.95588203515933,19.889893022308772,516.5026323260475,516.9003159120392,8.528279781341553,6.33984375,16.415384615384614
1,Parallel,1,GOOGL,1010000,GOOGL,236.49272011447854,64.6099400646505,37.90466647568311,236.36671309976427,236.61872712919282,6.124730348587036,-1.0546875,15.017857142857144
